ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),Unnamed: 28,Journal,DOI,Abstract
429,197,2018,9.6,9.39,20.14,0.633,0.744,FNDTSB,5.56,3.85,1.71,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C([Si]4(CCCCCCCC)CCCCCCCC)C6=C(OCCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C(OCCCCCC)=C6S5)=C(C#N)/C#N)C=C(F)C(F)=C2,1540.21,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.0,CF,,,100.0,,J. Mater. Chem. A,10.1039/c7ta10957a,"In this work, two new small-molecule non-fullerene acceptors, NFDTS and NFDTSB, with an acceptor–donor–acceptor (A–D–A) framework were designed and synthesized based on dithienosilole (DTS) derivatives. PTB7-Th:NFDTSB-based devices achieved the highest PCE value of 9.60% with a Voc of 0.751 V, a FF of 63.3%, and a high Jsc of 20.14 mA cm−2 without any post-treatment, which is so far the best performance reported for OPV devices utilizing DTS-based organic photovoltaic materials."
430,198,2018,11.74,11.64,17.02,0.72,0.95,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-T,5.3,3.5,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.384,18.8,2.68,1.0,1.0,CB,,,100.0,,J. Mater. Chem. A,10.1039/c8ta00368h,"So far, the most successful and widely used solvents in polymer solar cells (PSCs) are chlorinated solvents like chloroform (CF), 1,2-dichlorobenzene (DCB) and chlorobenzene (CB), which are highly detrimental to human health and the environment. In this work, by the approach of manipulating flexible and conjugated side groups of a widely used polymer donor material (PBDB-T), two new polymers named PBDB-T-BO and PBDB-BzT are designed and synthesized to improve the solubility and fine-tune the aggregation property in tetrahydrofuran (THF), a much more benign solvent. As a result, an outstanding PCE of 12.10% was achieved with the THF-processed PBDB-BzT:IT-M device. The result in this work demonstrates the importance to modulate the aggregation effect of the polymer in solution by inserting conjugated groups and also suggests a feasible method to convert the main processing solvent of a highly efficient non-fullerene (NF)-PSC from CB into THF."
431,198,2018,10.78,10.64,15.68,0.7,0.97,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-T-BO,5.38,3.58,1.8,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,28.702,12.7,2.26,1.0,1.0,THF,,,100.0,,J. Mater. Chem. A,10.1039/c8ta00368h,"So far, the most successful and widely used solvents in polymer solar cells (PSCs) are chlorinated solvents like chloroform (CF), 1,2-dichlorobenzene (DCB) and chlorobenzene (CB), which are highly detrimental to human health and the environment. In this work, by the approach of manipulating flexible and conjugated side groups of a widely used polymer donor material (PBDB-T), two new polymers named PBDB-T-BO and PBDB-BzT are designed and synthesized to improve the solubility and fine-tune the aggregation property in tetrahydrofuran (THF), a much more benign solvent. As a result, an outstanding PCE of 12.10% was achieved with the THF-processed PBDB-BzT:IT-M device. The result in this work demonstrates the importance to modulate the aggregation effect of the polymer in solution by inserting conjugated groups and also suggests a feasible method to convert the main processing solvent of a highly efficient non-fullerene (NF)-PSC from CB into THF."
432,198,2018,12.1,11.68,17.63,0.69,0.96,IT-M,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-BzT,5.36,3.56,1.8,CC(SC1=C2C3=CC(C=C(CC(CCCC)CCCCCC)C=C4)=C4S3)=CC1=C(C5=CC(C=C(CC(CCCC)CCCCCC)C=C6)=C6S5)C7=C2C=C(S7)C8=CC=C(C9=C%10C(C(C%11=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%11C%10=O)=O)=C(C%12=CC=C(C)S%12)S9)S8,27.405,13.5,2.03,1.0,1.0,THF,,,100.0,,J. Mater. Chem. A,10.1039/c8ta00368h,"So far, the most successful and widely used solvents in polymer solar cells (PSCs) are chlorinated solvents like chloroform (CF), 1,2-dichlorobenzene (DCB) and chlorobenzene (CB), which are highly detrimental to human health and the environment. In this work, by the approach of manipulating flexible and conjugated side groups of a widely used polymer donor material (PBDB-T), two new polymers named PBDB-T-BO and PBDB-BzT are designed and synthesized to improve the solubility and fine-tune the aggregation property in tetrahydrofuran (THF), a much more benign solvent. As a result, an outstanding PCE of 12.10% was achieved with the THF-processed PBDB-BzT:IT-M device. The result in this work demonstrates the importance to modulate the aggregation effect of the polymer in solution by inserting conjugated groups and also suggests a feasible method to convert the main processing solvent of a highly efficient non-fullerene (NF)-PSC from CB into THF."
433,199,2018,12.08,11.73,18.45,0.692,0.919,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,J71,5.4,3.24,2.16,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC,47.0,23.5,2.0,1.0,1.0,CF,,150,,,J. Mater. Chem. A,10.1039/c7ta11339k,"Unlike fullerene derivatives, current nonfullerene n-type organic semiconductor (n-OS) electron acceptors can rarely work efficiently with different band-gap polymer donors in polymer solar cells (PSCs). To address this issue, we designed and synthesized a new n-OS electron acceptor, namely m-MeIC, which is proved to be effective with different band-gap polymer donors including wide band-gap J71, medium band-gap PBDB-T and low band-gap PCE-10. Photovoltaic devices based on J71:m-MeIC and PBDB-T:m-MeIC achieved power conversion efficiencies (PCEs) as high as 12.08% and 10.93%, respectively. The difference in PCEs between the devices based on J71 and PBDB-T is mainly ascribed to the gap of the open circuit voltage. It should be mentioned that the J71-based device exhibited an energy loss of 0.62 eV, which is significantly lower than the most reported energy loss. For the low band-gap polymer donor PCE-10, the device also showed a relatively high PCE of 8.34%. The different device performances are analyzed in depth from charge transport and collection, to recombination loss mechanism and morphology of blend films. This work reveals that the new n-type organic semiconductor is very promising as a universal nonfullerene acceptor, pairing with different band-gap polymer donors."
434,199,2018,10.93,10.68,18.16,0.697,0.843,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,PBDB-T,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,50.384,18.8,2.68,1.0,1.0,CF,,150,,,J. Mater. Chem. A,10.1039/c7ta11339k,"Unlike fullerene derivatives, current nonfullerene n-type organic semiconductor (n-OS) electron acceptors can rarely work efficiently with different band-gap polymer donors in polymer solar cells (PSCs). To address this issue, we designed and synthesized a new n-OS electron acceptor, namely m-MeIC, which is proved to be effective with different band-gap polymer donors including wide band-gap J71, medium band-gap PBDB-T and low band-gap PCE-10. Photovoltaic devices based on J71:m-MeIC and PBDB-T:m-MeIC achieved power conversion efficiencies (PCEs) as high as 12.08% and 10.93%, respectively. The difference in PCEs between the devices based on J71 and PBDB-T is mainly ascribed to the gap of the open circuit voltage. It should be mentioned that the J71-based device exhibited an energy loss of 0.62 eV, which is significantly lower than the most reported energy loss. For the low band-gap polymer donor PCE-10, the device also showed a relatively high PCE of 8.34%. The different device performances are analyzed in depth from charge transport and collection, to recombination loss mechanism and morphology of blend films. This work reveals that the new n-type organic semiconductor is very promising as a universal nonfullerene acceptor, pairing with different band-gap polymer donors."
435,199,2018,8.34,8.12,16.52,0.617,0.796,m-MeIC,5.54,3.9,1.64,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(CCCCCC)=C%12)C%13=CC(CCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(CCCCCC)=CC=C%14)5C%15=CC=CC(CCCCCC)=C%15,1468.05,PTB7-Th,5.2,3.6,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.0,CF,CN,,,,J. Mater. Chem. A,10.1039/c7ta11339k,"Unlike fullerene derivatives, current nonfullerene n-type organic semiconductor (n-OS) electron acceptors can rarely work efficiently with different band-gap polymer donors in polymer solar cells (PSCs). To address this issue, we designed and synthesized a new n-OS electron acceptor, namely m-MeIC, which is proved to be effective with different band-gap polymer donors including wide band-gap J71, medium band-gap PBDB-T and low band-gap PCE-10. Photovoltaic devices based on J71:m-MeIC and PBDB-T:m-MeIC achieved power conversion efficiencies (PCEs) as high as 12.08% and 10.93%, respectively. The difference in PCEs between the devices based on J71 and PBDB-T is mainly ascribed to the gap of the open circuit voltage. It should be mentioned that the J71-based device exhibited an energy loss of 0.62 eV, which is significantly lower than the most reported energy loss. For the low band-gap polymer donor PCE-10, the device also showed a relatively high PCE of 8.34%. The different device performances are analyzed in depth from charge transport and collection, to recombination loss mechanism and morphology of blend films. This work reveals that the new n-type organic semiconductor is very promising as a universal nonfullerene acceptor, pairing with different band-gap polymer donors."
436,200,2018,9.36,9.11,17.31,0.598,0.88,IDT2Se,5.41,3.87,1.54,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1573.83,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CB,,100,110.0,,J. Mater. Chem. A,10.1039/c8ta00783g,"Two non-fullerene acceptors with selenophene π bridges to link the indacenodithiophene (IDT) core and 3-(dicyanomethylidene)indan-1-one (IC) or difluorinated IC (2F-IC) terminals, i.e.IDT2Se and IDT2Se-4F, were synthesized. IDT2Se and IDT2Se-4F have low optical band gaps (Eoptg) of 1.45 and 1.39 eV, respectively. Organic solar cells (OSCs) based on them were fabricated with the wide band gap polymer PBDB-T as the donor. A wide photo-current response extending to 850 and 900 nm was observed for the IDT2Se and IDT2Se-4F based devices, respectively. Besides, the PBDB-T:IDT2Se-4F blend film exhibited higher electron mobility and more balanced hole and electron transport ascribed to the higher packing order of IDT2Se-4F in the blends and a proper phase-separated morphology. As a result, the IDT2Se-4F based devices delivered a high power conversion efficiency (PCE) up to 11.19% with an open-circuit voltage (Voc) of 0.79 V, a short-circuit current density (Jsc) of 21.49 mA cm−2 and a fill factor (FF) of 65.9%, whereas the devices based on IDT2Se showed a lower maximum PCE of 9.36%."
437,200,2018,11.19,11.03,21.35,0.654,0.79,IDT2Se-4F,5.51,4.0,1.51,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)[Se]4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=CC=C(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)[Se]%11)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1645.79,PBDB-T,5.33,2.92,2.41,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117.0,58.5,2.0,1.0,1.0,CB,,100,110.0,,J. Mater. Chem. A,10.1039/c8ta00783g,"Two non-fullerene acceptors with selenophene π bridges to link the indacenodithiophene (IDT) core and 3-(dicyanomethylidene)indan-1-one (IC) or difluorinated IC (2F-IC) terminals, i.e.IDT2Se and IDT2Se-4F, were synthesized. IDT2Se and IDT2Se-4F have low optical band gaps (Eoptg) of 1.45 and 1.39 eV, respectively. Organic solar cells (OSCs) based on them were fabricated with the wide band gap polymer PBDB-T as the donor. A wide photo-current response extending to 850 and 900 nm was observed for the IDT2Se and IDT2Se-4F based devices, respectively. Besides, the PBDB-T:IDT2Se-4F blend film exhibited higher electron mobility and more balanced hole and electron transport ascribed to the higher packing order of IDT2Se-4F in the blends and a proper phase-separated morphology. As a result, the IDT2Se-4F based devices delivered a high power conversion efficiency (PCE) up to 11.19% with an open-circuit voltage (Voc) of 0.79 V, a short-circuit current density (Jsc) of 21.49 mA cm−2 and a fill factor (FF) of 65.9%, whereas the devices based on IDT2Se showed a lower maximum PCE of 9.36%."
438,201,2018,4.5,4.3,8.7,0.469,1.05,D5T6F-M,6.09,4.16,1.93,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C(S3)=C(F)C(F)=C3C4=C(CCCCCCCC)C(F)=C(C5=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S5)S4)S2)=C1CCCCCCCC,1121.54,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.5,CB,,,,,J. Mater. Chem. A,10.1039/c8ta02781a,"We report on a set of two analogous, F-substituted oligothiophene derivatives (D5T6F-M and D7T8F-M), in which systematic fluorination at the thienyl moieties is shown to induce a sufficient increase in electron affinity (EA; i.e. suppressed LUMO level) and in ionization potential (IP; i.e. deeper HOMO) to (i) impart the molecules with electron-accepting and -transporting characteristics, and (ii) yield high open-circuit voltages >1 V in BHJ solar cells when combined with a low-bandgap polymer donor (PCE10) commonly used with fullerenes. The nonfullerene BHJ devices with the SM acceptor D5T6F-M achieve power conversion efficiencies (PCEs) of up to ca. 4.5% (vs. ca. 2% for D7T8F-M-based devices). Our study shows that –F substitutions in SM systems – otherwise used as donors – is an effective approach in the design of nonfullerene acceptors for efficient BHJ solar cells with polymer donors."
439,201,2018,1.8,1.7,4.4,0.345,1.11,D7T8F-M,5.74,3.93,1.81,FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C3=C(F)C(CCCCCCCC)=C(C4=C(F)C(F)=C(C(S5)=C(CCCCCCCC)C(F)=C5C6=C(CCCCCCCC)C(F)=C(C7=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S7)S6)S4)S3)S2)=C1CCCCCCCC,1546.19,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,2.33,CB,,,,,J. Mater. Chem. A,10.1039/c8ta02781a,"We report on a set of two analogous, F-substituted oligothiophene derivatives (D5T6F-M and D7T8F-M), in which systematic fluorination at the thienyl moieties is shown to induce a sufficient increase in electron affinity (EA; i.e. suppressed LUMO level) and in ionization potential (IP; i.e. deeper HOMO) to (i) impart the molecules with electron-accepting and -transporting characteristics, and (ii) yield high open-circuit voltages >1 V in BHJ solar cells when combined with a low-bandgap polymer donor (PCE10) commonly used with fullerenes. The nonfullerene BHJ devices with the SM acceptor D5T6F-M achieve power conversion efficiencies (PCEs) of up to ca. 4.5% (vs. ca. 2% for D7T8F-M-based devices). Our study shows that –F substitutions in SM systems – otherwise used as donors – is an effective approach in the design of nonfullerene acceptors for efficient BHJ solar cells with polymer donors."
440,202,2018,11.49,11.49,17.81,0.7077,0.91,HF-PCIC,5.53,3.83,1.7,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=CC(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C=C6F,1395.8,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2.0,1.0,1.2,CF,DIO,110,,,J. Mater. Chem. A,10.1039/c8ta03753a,"Although the power conversion efficiencies (PCEs) of polymer solar cells (PSCs) based on non-fullerene acceptors have been increasing rapidly over the last couple of years, little is known about the correlations between molecular structures and blend morphologies. In this work, we design and synthesize three acceptor–donor–core–donor–acceptor (A–D–C–D–A) type non-fullerene acceptors, HF–PCIC, HFO–PCIC and OF–PCIC, which possess the same electron-donating parts (D) and electron-accepting terminals (A), but different benzene-based cores (C). We observe that such minor chemical variations can lead to distinct differences in their photovoltaic properties. The resulting PSCs based on HF–PCIC with a 2,5-difluorobenzene core yield a good PCE of 10.97%, which is higher than those of HFO–PCIC and OF–PCIC based PSCs (8.36% and 9.09%). If the processing solvent is changed from chlorobenzene to chloroform, a further improved PCE of 11.49% is obtained for HF–PCIC-based PSCs due to the formation of finer phase separation domains. This is the highest value among the PSCs with non-fullerene acceptors possessing unfused cores. Through a series of characterization techniques, we disclose that the diverse benzene-based cores influence the molecular geometries of the three non-fullerene acceptors, resulting in varied molecular packing modes and film morphologies. The results suggest that the tuning of non-fullerene acceptors' geometries is an effective method to optimize the film morphology and thus the photovoltaic properties. The unfused-core in A–D–C–D–A small molecules provides a good building block to construct high-performance non-fullerene acceptors."
441,202,2018,8.36,8.36,12.62,0.7099,0.93,HFO-PCIC,5.5,3.81,1.69,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(OC)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(OC)=C6F,1455.85,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2.0,1.0,1.2,CB,CN,110,,,J. Mater. Chem. A,10.1039/c8ta03753a,"Although the power conversion efficiencies (PCEs) of polymer solar cells (PSCs) based on non-fullerene acceptors have been increasing rapidly over the last couple of years, little is known about the correlations between molecular structures and blend morphologies. In this work, we design and synthesize three acceptor–donor–core–donor–acceptor (A–D–C–D–A) type non-fullerene acceptors, HF–PCIC, HFO–PCIC and OF–PCIC, which possess the same electron-donating parts (D) and electron-accepting terminals (A), but different benzene-based cores (C). We observe that such minor chemical variations can lead to distinct differences in their photovoltaic properties. The resulting PSCs based on HF–PCIC with a 2,5-difluorobenzene core yield a good PCE of 10.97%, which is higher than those of HFO–PCIC and OF–PCIC based PSCs (8.36% and 9.09%). If the processing solvent is changed from chlorobenzene to chloroform, a further improved PCE of 11.49% is obtained for HF–PCIC-based PSCs due to the formation of finer phase separation domains. This is the highest value among the PSCs with non-fullerene acceptors possessing unfused cores. Through a series of characterization techniques, we disclose that the diverse benzene-based cores influence the molecular geometries of the three non-fullerene acceptors, resulting in varied molecular packing modes and film morphologies. The results suggest that the tuning of non-fullerene acceptors' geometries is an effective method to optimize the film morphology and thus the photovoltaic properties. The unfused-core in A–D–C–D–A small molecules provides a good building block to construct high-performance non-fullerene acceptors."
442,202,2018,9.09,9.09,13.76,0.7337,0.91,OF-PCIC,5.66,3.86,1.8,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6F,1431.78,PBDB-TF,5.48,3.64,1.84,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2.0,1.0,1.2,CB,CN,110,,,J. Mater. Chem. A,10.1039/c8ta03753a,"Although the power conversion efficiencies (PCEs) of polymer solar cells (PSCs) based on non-fullerene acceptors have been increasing rapidly over the last couple of years, little is known about the correlations between molecular structures and blend morphologies. In this work, we design and synthesize three acceptor–donor–core–donor–acceptor (A–D–C–D–A) type non-fullerene acceptors, HF–PCIC, HFO–PCIC and OF–PCIC, which possess the same electron-donating parts (D) and electron-accepting terminals (A), but different benzene-based cores (C). We observe that such minor chemical variations can lead to distinct differences in their photovoltaic properties. The resulting PSCs based on HF–PCIC with a 2,5-difluorobenzene core yield a good PCE of 10.97%, which is higher than those of HFO–PCIC and OF–PCIC based PSCs (8.36% and 9.09%). If the processing solvent is changed from chlorobenzene to chloroform, a further improved PCE of 11.49% is obtained for HF–PCIC-based PSCs due to the formation of finer phase separation domains. This is the highest value among the PSCs with non-fullerene acceptors possessing unfused cores. Through a series of characterization techniques, we disclose that the diverse benzene-based cores influence the molecular geometries of the three non-fullerene acceptors, resulting in varied molecular packing modes and film morphologies. The results suggest that the tuning of non-fullerene acceptors' geometries is an effective method to optimize the film morphology and thus the photovoltaic properties. The unfused-core in A–D–C–D–A small molecules provides a good building block to construct high-performance non-fullerene acceptors."
